object name,type,uuid,header-client-ip,comment,log-header-change,name,dstaddr,content,member
__CondList1CRM20022132133_dst_proxy,dst,216a3516-a120-51ed-79ad-b6a42e68f3a4,,,,,,,"english.sse.com.cn"" ""hkex.com.hk"" ""idx.co.id"" ""nasdaq.com"" ""nseindia.com"" ""ysx-mm.com"
__CondList1Evernote_List_proxy,dst,afc0e06a-a122-51ed-efb3-53f31561e7bc,,,,,,,evernote.com
__CondList1outlook_owa_proxy,dst,99a66b8c-a123-51ed-ddc9-2d231596e630,,,,,,,outlook.office.com
__CondList1Office365_List_proxy,dst,38088698-a124-51ed-b6c4-ca191741aa3b,,,,,,,"outlook.office365.com"" ""smtp.office365.com"
__CondList1developer_destination_Commerce_proxy,dst,ddc30036-a124-51ed-ae89-d968a2cab674,,,,,,,ktcommerce.co.kr
__CondList1CRM22032104181_List,dst,4c4e1bfa-a128-51ed-20c3-44e52baa732e,,,,,,,"dl.google.com"" ""tools.google.com"
CRM22032104181_List,dst,58353958-a128-51ed-db9f-04200a2fcf9f,,,,,,,__CondList1CRM22032104181_List
__CondList1sendanywhere_proxy,dst,e624ceee-a129-51ed-0dce-813f63759232,,,,,,,sendanywhe.re
__CondList1CRM20100503752_dst,dst,f49e0c56-a129-51ed-9c9e-596ea8267ef6,,,,,,,"esmplust.com"" ""11st.co.kr"" ""wemakeprice.com"" ""smartstore.naver.com"" ""wing.coupang.com"" ""ministop.co.kr"" ""smartbill.co.kr"
CRM20100503752_dst,dst,4164e014-a12a-51ed-d3d3-5ab5be712dfa,,,,,,,__CondList1CRM20100503752_dst
__CondList1CRM21031162205_List_proxy,dst,1dda06f8-a132-51ed-8147-8762f5ee3baf,,,,,,,secure.sharefile.com
__CondList1CRM21040671887_list_proxy,dst,ccc9c180-a132-51ed-3199-9034e53f3dcc,,,,,,,slidep.com
__CondList1CRM21042679758_list_proxy,dst,75e5e2ee-a133-51ed-21bf-43381cd8808a,,,,,,,snc.idirect.net
__CondList1CRM22090269640_List_proxy,dst,513b6244-a13c-51ed-7c26-9b37f8cde9ac,,,,,,,"737.co.kr"" ""822.co.kr"" ""987.co.kr"" ""988.co.kr"" ""anysupport.net"" ""as82.kr"
__CondList1KT_Agent_work_proxy,dst,a713a560-a140-51ed-dc7e-afd3cfb04a21,,,,,,,"mvnords.kt.com"" ""__CondList1CRM18111388369_20181115_proxy"
__CondList1CRM18111388369_20181115_proxy,dst,65ae39d6-a141-51ed-6e77-e55ccc05d1ea,,,,,,,"olleh.com"" ""pointpark.com"
__CondList1Google_Meet_proxy,dst,16e8ebec-a223-51ed-abac-8f528224842e,,,,,,,"hangouts.clients6.google.com"" ""hangouts.google.com"" ""meet.google.com"" ""google/dlpage/res/hangoutplugin"
